transaction_id,parent,parent_type,child,child_type,role,date
2188-43_tr_01,"State Minister of Internal Security, Home Affairs and Disaster Management",stateMinister,Chamal Rajapaksa,citizen,minister,2020-08-13
2188-43_tr_02,State Minister of Foreign Employment Promotion and Market Diversification,stateMinister,Piyankara Jayaratne,citizen,minister,2020-08-13
2188-43_tr_03,"State Minister of Solar, Wind and Hydro Power Generation Projects Development",stateMinister,Duminda Dissanayaka,citizen,minister,2020-08-13
2188-43_tr_04,"State Minister of Batik, Handloom and Local Apparel Products",stateMinister,Dayasiri Jayasekara,citizen,minister,2020-08-13
2188-43_tr_05,"State Minister of Cooperative Services, Marketing Development and Consumer Protection",stateMinister,Lasantha Alagiyawanna,citizen,minister,2020-08-13
2188-43_tr_06,State Minister of Prison Reforms and Prisoners' Rehabilitation,stateMinister,Sudarshini Fernandopulle,citizen,minister,2020-08-13
2188-43_tr_07,"State Minister of Coconut, Kithul, Palmyrah and Rubber Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification",stateMinister,Arundika Fernando,citizen,minister,2020-08-13
2188-43_tr_08,State Minister of Rural Roads and other Infrastructure,stateMinister,Nimal Lanza,citizen,minister,2020-08-13
2188-43_tr_09,"State Minister of Warehouse Facilities, Container Yards, Port Supply Facilities and Boats and Shipping Industry Development",stateMinister,Jayantha Samaraweera,citizen,minister,2020-08-13
2188-43_tr_10,"State Minister of Land Management, State Enterprises Land and Property Development",stateMinister,Roshan Ranasinghe,citizen,minister,2020-08-13
2188-43_tr_11,"State Minister of Company Estate Reforms, Tea Estates related Crops, Tea Factories Modernization and Tea Export Promotion",stateMinister,Kanaka Herath,citizen,minister,2020-08-13
2188-43_tr_12,"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",stateMinister,Vidura Wickramanayaka,citizen,minister,2020-08-13
2188-43_tr_13,"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion",stateMinister,Janaka Wakkumbura,citizen,minister,2020-08-13
2188-43_tr_14,"State Minister of Dhamma Schools, Bhikkhu Education, Piriven and Buddhist Universities",stateMinister,Vijitha Berugoda,citizen,minister,2020-08-13
2188-43_tr_15,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",stateMinister,Shehan Semasinghe,citizen,minister,2020-08-13
2188-43_tr_16,State Minister of Production and Supply of Fertilizer and Regulation of Chemical Fertilizer and Insecticide Use,stateMinister,Mohan Priyadarshana De Silva,citizen,minister,2020-08-13
2188-43_tr_17,State Minister of Gem and Jewellery related Industries,stateMinister,Lohan Ratwatte,citizen,minister,2020-08-13
2188-43_tr_18,"State Minister of Vehicle Regulation, Bus Transport Services and Train Compartments and Motor Car Industry",stateMinister,Dilum Amunugama,citizen,minister,2020-08-13
2188-43_tr_19,"State Minister of Wildlife Protection, Adoption of safety measures including the construction of electrical fences and trenches and reforestation and forest resource development",stateMinister,Wimalaweera Dissanayaka,citizen,minister,2020-08-13
2188-43_tr_20,State Minister of Regional Cooperation,stateMinister,Tharaka Balasuriya,citizen,minister,2020-08-13
2188-43_tr_21,"State Minister of Rural Housing, Construction and Building Material Industries",stateMinister,Indika Anuruddha,citizen,minister,2020-08-13
2188-43_tr_22,"State Minister of Ornamental Fish, Inland Fish and Prawn Farming, Fishery Harbour Development, Multiday Fishing Activities and Fish Exports",stateMinister,Kanchana Wijesekera,citizen,minister,2020-08-13
2188-43_tr_23,State Minister of Rural and Divisional Drinking Water Supply Projects Development,stateMinister,Sanath Nishantha,citizen,minister,2020-08-13
2188-43_tr_24,State Minister of Canals and Common Infrastructure Development in Settlements in Mahaweli Zones,stateMinister,Siripala Gamlath,citizen,minister,2020-08-13
2188-43_tr_25,State Minister of Provincial Councils and Local Government,stateMinister,Sarath Weerasekara,citizen,minister,2020-08-13
2188-43_tr_26,"State Minister of Tanks, Reservoirs and Irrigation Development Related to Rural Paddy Fields",stateMinister,Anuradha Jayaratne,citizen,minister,2020-08-13
2188-43_tr_27,State Minister of Postal Services and Professional Development of Journalists,stateMinister,Sathasivam Viyalendiran,citizen,minister,2020-08-13
2188-43_tr_28,State Minister of Rural and School Sports Infrastructure Improvement,stateMinister,Thenuka Vidanagamage,citizen,minister,2020-08-13
2188-43_tr_29,"State Minister of Indigenous Medicine Promotion, Rural and Ayurvedic Hospitals Development and Community Health",stateMinister,Sisira Jayakody,citizen,minister,2020-08-13
2188-43_tr_30,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",stateMinister,Piyal Nishantha De Silva,citizen,minister,2020-08-13
2188-43_tr_31,"State Minister of Rattan, Brass, Pottery, Furniture and Rural Industrial Promotion",stateMinister,Prasanna Ranaweera,citizen,minister,2020-08-13
2188-43_tr_32,State Minister of Aviation and Export Zones Development,stateMinister,D. V. Chanaka,citizen,minister,2020-08-13
2188-43_tr_33,"State Minister of Livestock, Farm Promotion and Dairy and Egg Related Industries",stateMinister,D. B. Herath,citizen,minister,2020-08-13
2188-43_tr_34,"State Minister of Paddy and Grains, Organic Food, Vegetables, Fruits, Chilies, Onion and Potato Cultivation Promotion, Seed Production and Advanced Technology Agriculture",stateMinister,Shashindra Rajapaksa,citizen,minister,2020-08-13
2188-43_tr_35,"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",stateMinister,Nalaka Godahewa,citizen,minister,2020-08-13
2188-43_tr_36,State Minister of Estate Housing and Community Infrastructure,stateMinister,Jeevan Thondaman,citizen,minister,2020-08-13
