transaction_id,parent,parent_type,child,child_type,rel_type,role,date
2460-27-4_tr_01,Minister of Women and Child Affairs,cabinetMinister,K.D.R.Olga,citizen,AS_APPOINTED,secretary,2025-10-16
2460-27-4_tr_02,Minister of Ports and Civil Aviation,cabinetMinister,Ranjith Ariyaratne,citizen,AS_APPOINTED,secretary,2025-10-16
