transaction_id,old_parent,new_parent,child,type,date
2303-17_tr_01,Minister of Defence,Minister of Technology,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions,department,2022-10-26
2303-17_tr_02,"Minister of Finance, Economic Stabilization and National Policy",Minister of Industries,Department of the Registrar of Companies,department,2022-10-26
2303-17_tr_03,Minister of Agriculture,Minister of Industries,Lanka Posphate Limited,department,2022-10-26
2303-17_tr_04,Minister of Industries,Minister of Technology,Centre of Excellence for Robotic Applications,department,2022-10-26
