transaction_id,parent,parent_type,child,child_type,rel_type,role,date
2413-25-2_tr_01,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Ranjith Ariyaratne,citizen,AS_APPOINTED,secretary,2024-11-19
2413-25-2_tr_02,"Minister of Urban Development, Construction and Housing",cabinetMinister,A.M.P.M.B.Atapattu,citizen,AS_APPOINTED,secretary,2024-11-19
2413-25-2_tr_03,Minister of Public Security,cabinetMinister,D.W.R.B.Seneviratne,citizen,AS_APPOINTED,secretary,2024-11-19
2413-25-2_tr_05,"Minister of Foreign Affairs, Foreign Employment and Tourism",cabinetMinister,Aruni Wijewardana,citizen,AS_APPOINTED,secretary,2024-11-19
