transaction_id,parent,parent_type,child,child_type,rel_type,role,date
2413-25-2_tr_06,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,A.M.P.M.B.Atapattu,citizen,AS_APPOINTED,secretary,2024-11-19
2413-25-2_tr_07,Minister of Public Security and Parliamentary Affairs,cabinetMinister,D.W.R.B.Seneviratne,citizen,AS_APPOINTED,secretary,2024-11-19
2413-25-2_tr_09,"Minister of Public Administration, Provincial Councils and Local Government",cabinetMinister,S.Alokabandara,citizen,AS_APPOINTED,secretary,2024-11-19
2413-25-2_tr_10,"Minister of Foreign Affairs, Foreign Employment and Tourism",cabinetMinister,Aruni Ranaraja,citizen,AS_APPOINTED,secretary,2024-11-19
