transaction_id,old_parent,new_parent,child,type,date
2315-35_tr_02,Minister of Urban Development and Housing,Minister of Water Supply and Estate Infrastructure Development,New Villages Development Authority for Plantation Region,department,2023-01-19
2315-35_tr_03,Minister of Urban Development and Housing,Minister of Water Supply and Estate Infrastructure Development,Plantation Human Development Trust,department,2023-01-19
2315-35_tr_04,Minister of Urban Development and Housing,Minister of Water Supply and Estate Infrastructure Development,Saumyamoorthi Thondaman Memorial Foundation,department,2023-01-19
2315-35_tr_05,Minister of Urban Development and Housing,Minister of Water Supply and Estate Infrastructure Development,Estate Sector Self-Employment Revolving Fund,department,2023-01-19
