transaction_id,old_parent,new_parent,child,type,date
2300/24_tr_01,Minister of Defence,Minister of Public Security,National Dangerous Drugs Control Board,department,2022-10-05
2300/24_tr_02,Minister of Technology,Minister of Public Security,Department of Registration of Persons,department,2022-10-05
2300/24_tr_03,Minister of Technology,Minister of Industries,Industrial Technology Institute,department,2022-10-05
2300/24_tr_04,Minister of Investment Promotion,Minister of Public Security,Department of Immigration and Emigration,department,2022-10-05
