transaction_id,date,url,desc,child_type,child,parent_type,parent
2403-03,2024-09-23,,Anura Kumara Dissanayake,extgztperson,2403-03,government,Government of Sri Lanka
2403-37,2024-09-25,,Anura Kumara Dissanayake,extgztperson,2403-37,government,Government of Sri Lanka
2403-38,2024-09-25,,Anura Kumara Dissanayake,extgztperson,2403-38,government,Government of Sri Lanka
2403-39,2024-09-25,,Anura Kumara Dissanayake,extgztperson,2403-39,government,Government of Sri Lanka
2411-09,2024-11-18,,Anura Kumara Dissanayake,extgztperson,2411-09,government,Government of Sri Lanka
2411-10,2024-11-18,,Anura Kumara Dissanayake,extgztperson,2411-10,government,Government of Sri Lanka
2485-15,2026-04-21,,Anura Kumara Dissanayake,extgztperson,2485-15,government,Government of Sri Lanka
