transaction_id,old_parent,new_parent,child,type,date
2297/78_tr_01,"Minister of Finance, Economic Stabilization and National Policies",Minister of Investment Promotion,Sri Lanka Export Development Board,department,2022-09-16
2297/78_tr_02,"Minister of Finance, Economic Stabilization and National Policies",Minister of Investment Promotion,Board of Investment of Sri Lanka,department,2022-09-16
2297/78_tr_03,"Minister of Finance, Economic Stabilization and National Policies",Minister of Investment Promotion,Colombo Port City Economic Commission,department,2022-09-16
