transaction_id,parent,parent_type,child,child_type,role,date
2188-42_tr_19,Minister of Agriculture,cabinetMinister,Chamal Rajapaksa,citizen,minister,2020-08-13
2188-42_tr_09,Minister of Trade,cabinetMinister,Chamal Rajapaksa,citizen,minister,2020-08-13
2188-42_tr_04,Minister of Education,cabinetMinister,Dullas Alahapperuma,citizen,minister,2020-08-13
2188-42_tr_25,Minister of Youth and Sports,cabinetMinister,Dullas Alahapperuma,citizen,minister,2020-08-13
2188-42_tr_24,Minister of Ports and Shipping,cabinetMinister,Johnston Fernando,citizen,minister,2020-08-13
2188-42_tr_14,Minister of Power,cabinetMinister,Mahinda Amaraweera,citizen,minister,2020-08-13
2188-42_tr_17,Minister of Environment,cabinetMinister,S. M. Chandrasena,citizen,minister,2020-08-13
2188-42_tr_26,Minister of Justice,cabinetMinister,Nimal Siripala De Silva,citizen,minister,2020-08-13
2188-42_tr_07,Minister of Fisheries,cabinetMinister,Douglas Thevaanantha,citizen,minister,2020-08-13
