transaction_id,old,new,type,date
2277-53_tr_04,State Minister of Digital Technology and Enterprise Development,State Minister of Technology,stateMinister,2022-04-28
2277-53_tr_05,All Information Technology Parks,Information Technology Parks (Jaffna & Mannar),department,2022-04-28
2277-53_tr_13,Sri Lanka Land Reclamation Development Corporation and their subsidiaries and related institutions,Sri Lanka Land Development Corporation and its subsidiaries and related institutions,department,2022-04-28
2277-53_tr_15,State Minister of Coast Conservation & Low-Lying Lands Development,State Minister of Coast Conservation,stateMinister,2022-04-28
2277-53_tr_34,Secretariat of Science Technology & Innovation,"Coordinating Secretariat for Science, Technology & Innovation",department,2022-04-28
2277-53_tr_35,Inventors' Fund,Sri Lanka Inventors Fund,department,2022-04-28
2277-53_tr_58,National Drugs Regulatory Authority,National Medicines Regulatory Authority,department,2022-04-28
2277-53_tr_68,Department of Surveyor General of Sri Lanka,Sri Lanka Survey Department,department,2022-04-28
2277-53_tr_83,"State Minister of Solar, Wind and Hydro Power Generation Projects Development",State Minister of Renewable Energy Projects Development,stateMinister,2022-04-28
2277-53_tr_18,Department of Project Management and Supervision,Department of Project Management and Monitoring,department,2022-04-28
2277-53_tr_112,Ceylon Coal Pvt. Ltd.,Lanka Coal Company (Pvt.) Ltd.,department,2022-04-28
