transaction_id,old_parent,new_parent,parent_type,child,child_type,role,date
2095/17_tr_01,Deputy Minister of Housing and Construction,Deputy Minister of Housing & Urban Development,deputy_minister, Indika Bandaranayake,person,minister,2018-11-01
1932/69_tr_27,Deputy Minister of Ports and Shipping Affairs,Deputy Minister of Ports and Shipping,deputy_minister,Nishantha Muthuhettigama,AS_APPOINTED,minister,2018-11-02
