transaction_id,parent,parent_type,child,child_type,role,date
2403-38-02_tr_33,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",cabinetMinister,Anura Kumara Dissanayake,citizen,minister,2024-09-25
2403-38-02_tr_34,Minister of Energy,cabinetMinister,Anura Kumara Dissanayake,citizen,minister,2024-09-25
2403-38-02_tr_35,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",cabinetMinister,Anura Kumara Dissanayake,citizen,minister,2024-09-25
