transaction_id,parent,parent_type,child,child_type,role,date
2281-09-02_tr_05,"Minister of Justice, Prisons Affairs and Constitutional Reforms",cabinetMinister,Wijayadasa Rajapaksh,citizen,minister,2022-05-24
2281-09-02_tr_09,"Minister of Ports, Shipping and Aviation",cabinetMinister,Nimal Siripala de Silva,citizen,minister,2022-05-24
2281-09-02_tr_10,Minister of Tourism and Lands,cabinetMinister,Nalaka Jude Hareen Fernando,citizen,minister,2022-05-24
2281-09-02_tr_11,Minister of Labour and Foreign Employment,cabinetMinister,Maligaspe Koralege Nalin Manusha Nanayakkara,citizen,minister,2022-05-24
2281-09-02_tr_12,"Minister of Trade, Commerce and Food Security",cabinetMinister,Kachchakaduge Nalin Ruwanjiwa Fernando,citizen,minister,2022-05-24
