transaction_id,old,new,type,date
2276-63_tr_30,"Minister of Public Services, Provincial Councils and Local Government","Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",cabinetMinister,2022-04-22
2276-63_tr_71,Minister of Plantation,Minister of Plantation Industries,cabinetMinister,2022-04-22
2276-63_tr_102,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and Business Development",Minister of Samurdhi Development,stateMinister,2022-04-22
