transaction_id,parent,parent_type,child,child_type,rel_type,role,date
2413-25-3_tr_01,"Minister of Transport, Highways, Ports and Civil Aviation",cabinetMinister,K.D.S.Ruwanchandra,citizen,AS_APPOINTED,secretary,2024-11-20
2413-25-3_tr_02,"Minister of Agriculture, Livestock, Land and Irrigation",cabinetMinister,M.P.N.M.Wickramasinghe,citizen,AS_APPOINTED,secretary,2024-11-20
2413-25-3_tr_03,"Minister of Education, Higher Education and Vocational Education",cabinetMinister,J.M.T.Jayasundara,citizen,AS_APPOINTED,secretary,2024-11-20
